Component,Source Plate Name,Source Well,Destination Well,Transfer Volume,Destination Plate Name,Source Plate Type
layer1-slat1_h2_staple_1,P3339_JL,A1,A1,100,crisscross_design_plate,384PP_AQ_BP
layer1-slat1_h2_staple_2,P3339_JL,A2,A1,100,crisscross_design_plate,384PP_AQ_BP
layer1-slat1_h2_staple_3,P3339_JL,A3,A1,100,crisscross_design_plate,384PP_AQ_BP
layer1-slat1_h2_staple_4,P3339_JL,A4,A1,100,crisscross_design_plate,384PP_AQ_BP
layer1-slat1_h2_staple_5,P3339_JL,A5,A1,100,crisscross_design_plate,384PP_AQ_BP
layer1-slat1_h2_staple_6,sw_src002,A6,A1,100,crisscross_design_plate,384PP_AQ_BP
layer1-slat1_h2_staple_7,sw_src002,A7,A1,100,crisscross_design_plate,384PP_AQ_BP
layer1-slat1_h2_staple_8,sw_src002,A8,A1,100,crisscross_design_plate,384PP_AQ_BP
layer1-slat1_h2_staple_9,sw_src002,A9,A1,100,crisscross_design_plate,384PP_AQ_BP
layer1-slat1_h2_staple_10,sw_src002,A10,A1,100,crisscross_design_plate,384PP_AQ_BP
layer1-slat1_h2_staple_11,sw_src002,A11,A1,100,crisscross_design_plate,384PP_AQ_BP
layer1-slat1_h2_staple_12,sw_src002,A12,A1,100,crisscross_design_plate,384PP_AQ_BP
layer1-slat1_h2_staple_13,sw_src002,A13,A1,100,crisscross_design_plate,384PP_AQ_BP
layer1-slat1_h2_staple_14,sw_src002,A14,A1,100,crisscross_design_plate,384PP_AQ_BP
layer1-slat1_h2_staple_15,sw_src002,A15,A1,100,crisscross_design_plate,384PP_AQ_BP
layer1-slat1_h2_staple_16,sw_src002,A16,A1,100,crisscross_design_plate,384PP_AQ_BP
layer1-slat1_h2_staple_17,sw_src002,B1,A1,100,crisscross_design_plate,384PP_AQ_BP
layer1-slat1_h2_staple_18,sw_src002,B2,A1,100,crisscross_design_plate,384PP_AQ_BP
layer1-slat1_h2_staple_19,sw_src002,B3,A1,100,crisscross_design_plate,384PP_AQ_BP
layer1-slat1_h2_staple_20,sw_src002,B4,A1,100,crisscross_design_plate,384PP_AQ_BP
layer1-slat1_h2_staple_21,sw_src002,B5,A1,100,crisscross_design_plate,384PP_AQ_BP
layer1-slat1_h2_staple_22,sw_src002,B6,A1,100,crisscross_design_plate,384PP_AQ_BP
layer1-slat1_h2_staple_23,sw_src002,B7,A1,100,crisscross_design_plate,384PP_AQ_BP
layer1-slat1_h2_staple_24,sw_src002,B8,A1,100,crisscross_design_plate,384PP_AQ_BP
layer1-slat1_h2_staple_25,sw_src002,B9,A1,100,crisscross_design_plate,384PP_AQ_BP
layer1-slat1_h2_staple_26,sw_src002,B10,A1,100,crisscross_design_plate,384PP_AQ_BP
layer1-slat1_h2_staple_27,sw_src002,B11,A1,100,crisscross_design_plate,384PP_AQ_BP
layer1-slat1_h2_staple_28,sw_src002,B12,A1,100,crisscross_design_plate,384PP_AQ_BP
layer1-slat1_h2_staple_29,sw_src002,B13,A1,100,crisscross_design_plate,384PP_AQ_BP
layer1-slat1_h2_staple_30,sw_src002,B14,A1,100,crisscross_design_plate,384PP_AQ_BP
layer1-slat1_h2_staple_31,sw_src002,B15,A1,100,crisscross_design_plate,384PP_AQ_BP
layer1-slat1_h2_staple_32,sw_src002,B16,A1,100,crisscross_design_plate,384PP_AQ_BP
layer1-slat1_h5_staple_1,P3247_SW,A16,A1,100,crisscross_design_plate,384PP_AQ_BP
layer1-slat1_h5_staple_2,P3247_SW,C12,A1,100,crisscross_design_plate,384PP_AQ_BP
layer1-slat1_h5_staple_3,P3247_SW,D13,A1,100,crisscross_design_plate,384PP_AQ_BP
layer1-slat1_h5_staple_4,P3247_SW,E14,A1,100,crisscross_design_plate,384PP_AQ_BP
layer1-slat1_h5_staple_5,P3247_SW,F13,A1,100,crisscross_design_plate,384PP_AQ_BP
layer1-slat1_h5_staple_6,P3247_SW,H11,A1,100,crisscross_design_plate,384PP_AQ_BP
layer1-slat1_h5_staple_7,P3247_SW,I5,A1,100,crisscross_design_plate,384PP_AQ_BP
layer1-slat1_h5_staple_8,P3247_SW,J15,A1,100,crisscross_design_plate,384PP_AQ_BP
layer1-slat1_h5_staple_9,P3247_SW,K19,A1,100,crisscross_design_plate,384PP_AQ_BP
layer1-slat1_h5_staple_10,P3247_SW,M16,A1,100,crisscross_design_plate,384PP_AQ_BP
layer1-slat1_h5_staple_11,P3247_SW,O5,A1,100,crisscross_design_plate,384PP_AQ_BP
